Incident,RequestedBy,Description,Category,Solution_code,Start_Date,End_Date,Status,Assignement_Group,Ticket_Criticality,Env,SolvedBy
INC00010036,Jenna Carroll,Unable to create hive table in UAT env,No Fault Found,No Action Taken,5/29/2021 12:31,5/29/2021 13:31,In-Progress,HADOOP_SUPPORT_L2,4-Low,SIT,Colt Chandler
INC00010037,Summer Bauer,Job got stuck at spark command,Capacity,Housekeeping,3/31/2022 6:42,4/4/2022 2:42,Resolved,HADOOP_SUPPORT_L2,2-High,UAT,Damari Mcgrath
INC00010038,Aphrodite Wong,Can't connect to HIVE UAT,Miscategorised,No Action Taken,4/25/2022 10:30,4/30/2022 1:30,In-Progress,HADOOP_SUPPORT_L2,3-Moderate,SIT,Rashad Allen
INC00010039,Mike Edwards,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,5/12/2020 22:42,5/25/2020 9:42,In-Progress,HADOOP_SUPPORT_L3,1-Critical,PROD,Ariana Avila
INC00010040,Justin Marquez,Unix_timestamp is not working in Hive its giving null Value.,Configuration,Amend Configuration,7/26/2022 15:16,8/3/2022 14:16,Resolved,HADOOP_SUPPORT_L3,2-High,DEV,Uriel Howell
INC00010041,August Berg,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,12/8/2022 9:33,12/16/2022 20:33,On-Hold,HADOOP_SUPPORT_L3,4-Low,DEV,Sandra Myers
INC00010042,Jenna Watson,UAT  spark submit not going to the designated queue,Configuration,Amend Configuration,2/25/2021 12:49,3/3/2021 17:49,On-Hold,HADOOP_SUPPORT_L1,2-High,DEV,Keaton Forbes
INC00010043,Francis Wilder,Unix_timestamp is not working in Hive its giving null Value.,Configuration,Amend Configuration,8/20/2020 18:45,8/23/2020 1:45,New,HADOOP_SUPPORT_L2,3-Moderate,PROD,Rashad Allen
INC00010044,Ariana Shields,Unable to access  hive from jupiter,Dependent System,Workaround,1/1/2023 9:14,1/5/2023 6:14,New,HADOOP_SUPPORT_L1,2-High,UAT,Keaton Forbes
INC00010045,Randall Doyle,UAT  spark submit not going to the designated queue,Configuration,Amend Configuration,9/29/2021 9:40,10/1/2021 8:40,New,HADOOP_SUPPORT_L2,1-Critical,SIT,Alana Hughes
INC00010046,Sophia Moore,Error Submitting Spark Job,Capacity,Workaround,4/16/2022 8:20,4/23/2022 4:20,In-Progress,HADOOP_SUPPORT_L3,4-Low,DEV,Iyana Stein
INC00010047,Alexander Reed,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,6/17/2021 9:03,6/19/2021 10:03,New,HADOOP_SUPPORT_L3,4-Low,PROD,Iyana Stein
INC00010048,Regina Dawson,Please create Ranger policy for network team,User Access,Permissions Granted,6/10/2020 13:18,6/22/2020 5:18,Closed,HADOOP_SUPPORT_L1,4-Low,PROD,Lacey Cole
INC00010049,Sebastian Small,Spark client always fails,Configuration,Workaround,12/16/2020 18:13,12/18/2020 13:13,Resolved,HADOOP_SUPPORT_L1,2-High,UAT,Shirley Randolph
INC00010050,Kibo Dawson,Slowness in Hue,Capacity,Workaround,6/6/2021 7:30,6/15/2021 3:30,Resolved,HADOOP_SUPPORT_L2,1-Critical,DEV,Alana Hughes
INC00010051,Peter Jordan,Please provide resource details for all the queue associated with root,Configuration,Workaround,9/13/2020 5:32,9/20/2020 11:32,Closed,HADOOP_ENGG,2-High,DEV,Pamela Hancock
INC00010052,Maya Evans,Apache Hadoop MapReduce Job History Server (JHS) vulnerability,Troubleshooting,Syster Driver Updated,8/16/2022 11:08,8/24/2022 2:08,In-Progress,HADOOP_SUPPORT_L3,3-Moderate,DEV,Kaydence Luna
INC00010053,Julia Moore,Created Hive ODBC is unable to load data,Dependent System,Workaround,1/24/2022 13:41,2/1/2022 12:41,In-Progress,HADOOP_ENGG,3-Moderate,PROD,Pamela Hancock
INC00010054,Cameran Nguyen,issue with hive property modification,Configuration,Workaround,3/3/2023 4:23,3/9/2023 21:23,In-Progress,HADOOP_SUPPORT_L2,2-High,SIT,Kenny Kennedy
INC00010055,Hu Mack,Deleting data form external Hive tables,Data,Data Deleted,1/26/2022 12:59,1/30/2022 6:59,New,HADOOP_ENGG,3-Moderate,DEV,Pamela Hancock
INC00010056,Alen Myers,Production queue crunch in root.abcdefgh ; Job stuck for long time,Account Administration,Additional Capacity,1/23/2023 18:01,1/26/2023 7:01,Closed,HADOOP_SUPPORT_L2,4-Low,SIT,Damari Mcgrath
INC00010057,Martha Rich,DiskBalancer Occasionally Emits False Error Messages,Configuration,Workaround,10/22/2020 19:53,10/27/2020 19:53,On-Hold,HADOOP_ENGG,1-Critical,DEV,Pamela Hancock
INC00010058,Ignatius Payne,Kindly check and let me know is it possible to add additional resource to hadoop_apac,Capacity,Additional Capacity,2/1/2021 18:26,2/10/2021 18:26,On-Hold,HADOOP_SUPPORT_L3,1-Critical,SIT,Kaydence Luna
INC00010059,Antony Carter,Cannot re-encrypt an encryption zone if a previous re-encryption on it was canceled,Configuration,Workaround,10/17/2022 6:19,10/21/2022 11:19,In-Progress,HADOOP_SUPPORT_L3,2-High,UAT,Eva Underwood
INC00010060,Keegan Bell,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,7/3/2022 16:24,7/12/2022 0:24,Closed,HADOOP_SUPPORT_L1,3-Moderate,PROD,Eliana Matthews
INC00010061,Madeson Daugherty,New account for HUE, ACL for any new project space of EAP Cluster,Miscategorised,11/30/2022 19:39,12/9/2022 1:39,On-Hold,HADOOP_ENGG,2-High,DEV,Seth Holder
INC00010062,Amy Richards,Unable to access  hive from jupiter,Dependent System,Workaround,7/1/2022 13:32,7/12/2022 2:32,Resolved,HADOOP_ENGG,2-High,UAT,Chloe Anderson
INC00010063,Brett Garrett,Unable to access  hive from jupiter,Dependent System,Workaround,7/8/2020 17:39,7/18/2020 12:39,Resolved,HADOOP_SUPPORT_L1,4-Low,SIT,Nyla Reid
INC00010064,Henry Russell,Not able to access database HIVE in  prod,Dependent System,Workaround,9/12/2020 19:01,9/22/2020 12:01,In-Progress,HADOOP_SUPPORT_L1,1-Critical,PROD,Rosemary Bell
INC00010065,Jenette Hancock,Some rogue jobs are occuping all available memory in YARN Queue, need help to kill those jobs ASAP,Capacity,8/15/2021 2:36,8/21/2021 21:36,New,HADOOP_ENGG,2-High,UAT,Yurem Montes
INC00010066,Benedict Griffith,While running queries in HUE I keep getting following error: : FAILED: Execution Error, return code 1 from org.apache.hadoop.hive.ql.exec.tez.TezTask,User Error,11/5/2020 1:21,11/9/2020 9:21,On-Hold,HADOOP_ENGG,1-Critical,UAT,Chloe Anderson
INC00010067,Abel Good,We are facing following issue due to which spark job getting fail,Data-Transaction,Workaround,11/11/2022 11:23,11/14/2022 18:23,Resolved,HADOOP_SUPPORT_L2,2-High,PROD,Alana Hughes
INC00010068,Bernard Brock,Hive issue,Configuration,Amend Configuration,9/27/2022 19:54,10/4/2022 20:54,Resolved,HADOOP_ENGG,2-High,SIT,Seth Holder
INC00010069,Tara Rogers,Spark client always fails,Configuration,Amend Configuration,1/29/2021 11:19,2/4/2021 22:19,In-Progress,HADOOP_SUPPORT_L2,3-Moderate,UAT,Rashad Allen
INC00010070,Jonas Carter,Job got stuck at spark command,Capacity,Housekeeping,1/4/2022 17:04,1/17/2022 1:04,Resolved,HADOOP_SUPPORT_L3,2-High,DEV,Iyana Stein
INC00010071,Dexter Murphy,Hue group Sync in Prod,Configuration,Amend Configuration,10/13/2022 11:21,10/25/2022 9:21,Closed,HADOOP_SUPPORT_L2,4-Low,SIT,Colton Robertson
INC00010072,Dainton Johnson,Potential Block Corruption and Data Loss During Pipeline Recovery,Configuration,Workaround,2/25/2020 22:43,3/8/2020 13:43,Resolved,HADOOP_SUPPORT_L2,4-Low,UAT,Colton Robertson
INC00010073,Victoria Morris,YARN log for : application_11111111111_2222  from PROD,Configuration,Workaround,10/26/2021 8:44,11/4/2021 3:44,On-Hold,HADOOP_SUPPORT_L2,1-Critical,UAT,Edwin Ali
INC00010074,Madaline Stevens,Error while executing pySpark jobs,No Fault Found,No Action Taken,1/29/2021 6:28,2/9/2021 1:28,New,HADOOP_SUPPORT_L2,3-Moderate,DEV,Rashad Allen
INC00010075,Macaulay Pena,Data Quality Issue in Oozie Export Jobs,Configuration,Workaround,6/11/2021 10:00,6/14/2021 4:00,Closed,HADOOP_SUPPORT_L1,3-Moderate,PROD,Shirley Randolph
INC00010076,Portia Walton,Error char format uploading file in hdfs,Transaction Data,Ci Reboot,4/15/2021 22:35,4/20/2021 19:35,Resolved,HADOOP_ENGG,2-High,SIT,Landin Vaughn
INC00010077,Alan Hancock,Error when trying to log in to HUE DR,Configuration,Workaround,5/18/2022 17:48,5/21/2022 23:48,Closed,HADOOP_ENGG,1-Critical,DEV,Pamela Hancock
INC00010078,Wang Acosta,Unable to run spark job ,No Fault Found,Workaround,2/23/2020 19:02,2/29/2020 1:02,New,HADOOP_ENGG,2-High,UAT,Landin Vaughn
INC00010079,Agata Richards,Need Help for Oozie and spark testing ,Configuration,Workaround,3/15/2021 9:23,3/21/2021 9:23,Resolved,HADOOP_ENGG,3-Moderate,UAT,Landin Vaughn
INC00010080,Derek York,Please provide resource details for all the queue associated ,Configuration,Workaround,10/20/2022 18:51,10/27/2022 14:51,Closed,HADOOP_SUPPORT_L2,3-Moderate,DEV,Isabella Sheppard
INC00010081,Lenny Williams,Jupiter not able to submit oozie job,Miscategorised,Training/Advise,5/16/2021 13:53,5/19/2021 23:53,Closed,HADOOP_SUPPORT_L2,1-Critical,DEV,Edwin Ali
INC00010082,Kaitlin Vaughn,Job aborted abruptly,Capacity,Housekeeping,12/7/2021 12:18,12/10/2021 22:18,Resolved,HADOOP_SUPPORT_L3,3-Moderate,DEV,Uriel Howell
INC00010083,Julia Adams,Unable to access  hive from jupiter,Dependent System,Workaround,2/25/2023 1:41,2/28/2023 21:41,Closed,HADOOP_SUPPORT_L1,3-Moderate,PROD,Rosemary Bell
INC00010084,Cameron Blevins,Urgent configuration correction required on Resource scheduler for roots.xyz queue,Configuration,Amend Configuration,2/1/2022 6:57,2/5/2022 2:57,Closed,HADOOP_SUPPORT_L1,3-Moderate,UAT,Eliana Matthews
INC00010085,Allegra Fisher,RangerAdmin service is unavailable,Configuration,Housekeeping,1/14/2023 3:26,1/17/2023 15:26,In-Progress,HADOOP_SUPPORT_L2,1-Critical,DEV,Colton Robertson
INC00010086,Kennedy Solis,Slowness in Hue,Capacity,Workaround,11/23/2021 14:03,12/4/2021 2:03,In-Progress,HADOOP_SUPPORT_L1,4-Low,DEV,Alyvia Baker
INC00010087,Samantha West,Apache Hadoop MapReduce Job History Server (JHS) vulnerability,Troubleshooting,Syster Driver Updated,4/3/2022 6:06,4/15/2022 16:06,Closed,HADOOP_ENGG,3-Moderate,SIT,Yurem Montes
INC00010088,Paki Sellers,Spark client always fails,Configuration,Workaround,10/4/2020 14:40,10/12/2020 10:40,In-Progress,HADOOP_SUPPORT_L3,2-High,SIT,Odin Potter
INC00010089,Ted Anderson,Unix_timestamp is not working in Hive its giving null Value.,Configuration,Amend Configuration,2/18/2023 8:53,2/25/2023 19:53,On-Hold,HADOOP_ENGG,2-High,UAT,Seth Holder
INC00010090,Kate Miller,copying jars to hdfs for spark shell fast loading from windows,Security,File Permission -Modify,1/1/2022 13:09,1/13/2022 10:09,Closed,HADOOP_SUPPORT_L1,4-Low,UAT,Keaton Forbes
INC00010091,Kennedy Gay,grant db level access to user in ranger,User Access,Permissions Updated,6/12/2020 12:32,6/20/2020 9:32,On-Hold,HADOOP_ENGG,1-Critical,UAT,Pamela Hancock
INC00010092,Moana Griffin,All jobs stuck in Spark Command,User Access,Permissions Updated,2/12/2021 5:30,2/18/2021 0:30,In-Progress,HADOOP_ENGG,3-Moderate,SIT,Landin Vaughn
INC00010093,Lyndon Bailey,Facing Project Space Memory Issue- can't run query in HUE (hive/Impala),No Fault Found,No Action Taken,11/24/2021 14:19,12/2/2021 8:19,New,HADOOP_SUPPORT_L2,3-Moderate,PROD,Colt Chandler
INC00010094,Amena Justice,Exception: Python in worker has different version 3.6 than that in driver 3.7, PySpark cannot run,Configuration,3/5/2022 22:45,3/17/2022 1:45,New,HADOOP_SUPPORT_L3,1-Critical,SIT,Guadalupe Mcneil
INC00010095,Miranda Mitchell,Kindly check and let me know is it possible to add additional resource to hadoop_global,Capacity,Additional Capacity,2/23/2021 10:56,3/4/2021 8:56,In-Progress,HADOOP_SUPPORT_L2,4-Low,DEV,Winston Schultz
INC00010096,Madeline Armstrong,User is not able to access hue url. Getting UnboundLocalError,Configuration,Amend Configuration,4/25/2023 18:15,4/30/2023 6:15,Resolved,HADOOP_SUPPORT_L1,3-Moderate,SIT,Savanah Ho
INC00010097,Haris Stewart,Unable to run spark job ,No Fault Found,Workaround,12/27/2022 22:57,1/3/2023 0:57,New,HADOOP_SUPPORT_L2,2-High,DEV,Kenny Kennedy
INC00010098,Garry Ferguson,Job got stuck at spark command,Capacity,Housekeeping,3/21/2021 5:31,3/24/2021 18:31,Resolved,HADOOP_ENGG,1-Critical,SIT,Landin Vaughn
INC00010099,Kate Ellis,Hive issue ,Miscategorised,Training/Advise,2/9/2021 4:36,2/13/2021 23:36,In-Progress,HADOOP_SUPPORT_L2,3-Moderate,DEV,Damari Mcgrath
INC00010100,Aida Carroll,While running queries in HUE I keep getting following error: : FAILED: Execution Error, return code 1 from org.apache.hadoop.hive.ql.exec.tez.TezTask,User Error,1/5/2021 8:25,1/12/2021 22:25,New,HADOOP_SUPPORT_L3,1-Critical,DEV,Laci Acosta
INC00010101,Maximilian Clark,webHDFS  namenode operations Failing,Data,Workaround,8/1/2022 19:33,8/13/2022 18:33,New,HADOOP_SUPPORT_L3,4-Low,SIT,Uriel Howell
INC00010102,Roland Ellis,Production queue  resources update,Account Administration,Additional Capacity,6/27/2021 17:10,7/1/2021 19:10,Closed,HADOOP_SUPPORT_L3,1-Critical,UAT,Uriel Howell
INC00010103,Daphne Santos,Erro with HUE/EAP,Capacity,Housekeeping,2/7/2020 17:51,2/8/2020 9:51,New,HADOOP_SUPPORT_L1,4-Low,PROD,Giovanna Henson
INC00010104,Haris Gray,﻿Short Description,Category,Solution code,3/3/2023 6:06,3/4/2023 7:06,Closed,HADOOP_SUPPORT_L2,1-Critical,UAT,Alana Hughes
INC00010105,Rubie Kelly,Can not access to HUE,User Access,Permissions Updated,10/24/2022 14:16,10/25/2022 12:16,On-Hold,HADOOP_SUPPORT_L2,4-Low,DEV,Damari Mcgrath
INC00010106,Wyoming Buchanan,Clusters running CDH 5.16.1, 6.1.0, or 6.1.1 can lose some HDFS file permissions any time the NameNode is restarted,2/19/2021 2:26,2/27/2021 0:26,In-Progress,HADOOP_ENGG,4-Low,UAT,Seth Holder
INC00010107,Brenna Lott,Ranger autorization failed,Configuration,Amend Configuration,5/28/2020 1:32,6/2/2020 11:32,New,HADOOP_SUPPORT_L2,3-Moderate,UAT,Damari Mcgrath
INC00010108,Ada Cameron,Not able to open spark-shell terminal,Configuration,Workaround,12/24/2021 1:08,12/29/2021 3:08,In-Progress,HADOOP_SUPPORT_L1,3-Moderate,DEV,Lacey Cole
INC00010109,Justin Perkins,HIVE not working, Always showing repload option,Dependent System,7/24/2020 8:11,7/27/2020 16:11,New,HADOOP_SUPPORT_L2,2-High,DEV,Edwin Ali
INC00010110,Mary Kline,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,2/17/2023 11:02,2/20/2023 21:02,New,HADOOP_SUPPORT_L3,3-Moderate,PROD,Eva Underwood
INC00010111,Jenette Park,Unable to schedule oozie_workflow,Account Administration,Workaround,5/9/2023 19:04,5/16/2023 7:04,Closed,HADOOP_SUPPORT_L2,3-Moderate,DEV,Winston Schultz
INC00010112,Sylvester Jenkins,Spark client always fails,Configuration,Workaround,2/7/2020 18:12,2/9/2020 21:12,Resolved,HADOOP_SUPPORT_L1,4-Low,PROD,Alonzo Berger
INC00010113,Curran Joseph,"getting ""OutOfMemoryError: Java heap space"" error in  job run",Configuration,Amend Configuration,9/21/2020 0:25,9/22/2020 8:25,On-Hold,HADOOP_SUPPORT_L1,1-Critical,DEV,Alyvia Baker
INC00010114,Abigail Mitchell,Unable to schedule oozie_workflow,Account Administration,Workaround,4/28/2021 17:14,4/30/2021 9:14,Resolved,HADOOP_SUPPORT_L3,2-High,SIT,Eva Underwood
INC00010115,Eleanor Walker,Error when trying to log in to HUE DR,User Access,Permissions Updated,4/25/2023 4:45,4/28/2023 7:45,In-Progress,HADOOP_ENGG,4-Low,DEV,Chloe Anderson
INC00010116,Kibo Dawson,Job failing with webHDFS error in Prod,Configuration,Workaround,7/9/2020 10:34,7/16/2020 2:34,New,HADOOP_SUPPORT_L2,2-High,SIT,Colton Robertson
INC00010117,Edgar Montgomery,Hive and Oozie is  down.,Known Error,Workaround,8/22/2020 21:40,8/24/2020 17:40,Closed,HADOOP_SUPPORT_L1,2-High,SIT,Shirley Randolph
INC00010118,Derek Fowler,Hadoop LdapGroupsMapping does not support LDAPS for self-signed LDAP server,User Access,Permissions Updated,10/24/2020 13:45,10/24/2020 18:45,Resolved,HADOOP_SUPPORT_L1,3-Moderate,DEV,Eliana Matthews
INC00010119,Walter Scott,Hive and Oozie is  down.,Known Error,No Action Taken,5/1/2021 14:05,5/6/2021 20:05,On-Hold,HADOOP_SUPPORT_L1,3-Moderate,UAT,Lacey Cole
INC00010120,Plato Hall,SparkUI: Failed to bind SparkUI,Capacity,Housekeeping,10/14/2020 8:11,10/18/2020 1:11,On-Hold,HADOOP_SUPPORT_L3,1-Critical,SIT,Odin Potter
INC00010121,Raya Owen,Unable to run spark job ,No Fault Found,Workaround,2/11/2023 13:34,2/17/2023 11:34,Resolved,HADOOP_SUPPORT_L1,3-Moderate,SIT,Shirley Randolph
INC00010122,Chloe Kelly,Can't connect to HIVE UAT,Miscategorised,No Action Taken,3/12/2023 6:00,3/20/2023 23:00,Closed,HADOOP_SUPPORT_L2,4-Low,UAT,Zayne Gonzales
INC00010123,Remedios Harrell,spark submit fails ,Miscategorised,Training/Advise,3/24/2023 1:32,3/29/2023 12:32,In-Progress,HADOOP_SUPPORT_L1,1-Critical,PROD,Lacey Cole
INC00010124,Marcus Carroll,UAT  spark submit not going to the designated queue,Configuration,Amend Configuration,8/21/2021 0:37,9/1/2021 19:37,New,HADOOP_ENGG,3-Moderate,PROD,Seth Holder
INC00010125,Belinda Howard,Spark client always fails,Configuration,Workaround,1/10/2023 2:02,1/12/2023 1:02,In-Progress,HADOOP_SUPPORT_L2,1-Critical,PROD,Colton Robertson
INC00010126,Allegra Fisher,Can't connect to HIVE UAT,Miscategorised,No Action Taken,6/12/2020 19:10,6/19/2020 7:10,New,HADOOP_SUPPORT_L2,2-High,DEV,Zayne Gonzales
INC00010127,Nayda Sellers,Unable to Run Pyspark/Yarn Jobs/ Automated Jobs using service accounts,User Access,Permissions Updated,11/22/2021 18:34,12/3/2021 2:34,New,HADOOP_SUPPORT_L3,2-High,DEV,Sandra Myers
INC00010128,Jacqueline Spence,Hive/Implala issue ,Capacity,Workaround,7/17/2020 9:50,7/25/2020 8:50,Resolved,HADOOP_SUPPORT_L1,2-High,UAT,Alyvia Baker
INC00010129,Walter Fowler,To Extract YARN Logs from edge node,Miscategorised,Training/Advise,10/25/2020 9:19,11/3/2020 17:19,Closed,HADOOP_SUPPORT_L2,4-Low,SIT,Zayne Gonzales
INC00010130,Cadie Andrews,Could you please check which user is locked this table in hive.,User Access,Permissions Updated,1/4/2020 15:46,1/7/2020 21:46,Resolved,HADOOP_ENGG,4-Low,UAT,Yurem Montes
INC00010131,Nomlanga Lynch,Error char format uploading file in hdfs,Transaction Data,Ci Reboot,12/21/2020 6:05,1/1/2021 16:05,Resolved,HADOOP_SUPPORT_L3,4-Low,DEV,Odin Potter
INC00010132,Sasha Dickerson,Killed Spark jobs are visible in Spark history server and holding on to resources causing further delay for other jobs,Capacity,Workaround,1/29/2020 5:08,2/2/2020 22:08,On-Hold,HADOOP_SUPPORT_L2,1-Critical,UAT,Winston Schultz
INC00010133,Hadley Ellison,Transferring empty file to HDFS when trying to send files via webHDFS protocol,Data-Transaction,Workaround,11/13/2021 23:47,11/23/2021 18:47,Resolved,HADOOP_SUPPORT_L3,2-High,DEV,Kaydence Luna
INC00010134,Adam Stevens,Please create Ranger policy for network team,User Access,Permissions Granted,6/6/2020 22:07,6/11/2020 22:07,Resolved,HADOOP_SUPPORT_L3,2-High,DEV,Dale Oliver
INC00010135,Tashya Madden,HIVE not working, Always showing repload option,Dependent System,11/21/2021 10:13,11/30/2021 2:13,Resolved,HADOOP_ENGG,3-Moderate,SIT,Seth Holder
INC00010136,Anna West,Unable to schedule oozie_workflow,Account Administration,Workaround,11/23/2020 15:38,11/28/2020 9:38,Resolved,HADOOP_SUPPORT_L2,1-Critical,SIT,Edwin Ali
INC00010137,Ginger Ratliff,webHDFS  namenode operations Failing,Data,Workaround,10/24/2021 16:23,10/31/2021 23:23,Resolved,HADOOP_SUPPORT_L1,2-High,SIT,Esmeralda Maldonado
INC00010138,Edward Mason,copying jars to hdfs for spark shell fast loading from windows,Security,File Permission -Modify,10/20/2022 22:44,11/1/2022 3:44,Closed,HADOOP_ENGG,4-Low,DEV,Pamela Hancock
INC00010139,Chaim Wade,copying jars to hdfs for spark shell fast loading from windows,Security,File Permission -Modify,2/26/2022 14:50,3/9/2022 20:50,In-Progress,HADOOP_SUPPORT_L2,4-Low,SIT,Edwin Ali
INC00010140,Oliver Mitchell,Error char format uploading file in hdfs,Transaction Data,Ci Reboot,10/15/2021 18:06,10/19/2021 16:06,New,HADOOP_ENGG,2-High,UAT,Yurem Montes
INC00010141,Vanessa Murphy,Spark jobs are failing as namespace quote is full,Capacity,Housekeeping,3/3/2022 10:30,3/15/2022 7:30,In-Progress,HADOOP_ENGG,4-Low,PROD,Landin Vaughn
INC00010142,Bruno Sykes,CONTROL-M PROD  RANGER AUIDT FAILURE,Configuration,Workaround,3/15/2020 18:31,3/23/2020 2:31,Closed,HADOOP_SUPPORT_L3,3-Moderate,SIT,Dale Oliver
INC00010143,Emily Colon,New account for HUE, ACL for any new project space of EAP Cluster,Miscategorised,6/5/2020 1:57,6/17/2020 11:57,Closed,HADOOP_SUPPORT_L1,4-Low,SIT,Shirley Randolph
